,koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
2767,108.593329,7.988,1.58,375,6106,4.556,0.844,0
2768,199.664537,8.583,1.54,306,6106,4.556,0.844,0
2774,61.6178167,3.752,3.59,423,5609,4.539,0.898,0
2776,76.5369586,5.693,2.75,471,6240,4.406,1.025,0
2786,116.582614,6.05,3.43,371,5738,4.426,0.981,0
2788,53.5778376,5.447,1.36,350,4722,4.607,0.718,0
2793,72.381301,7.892,1.42,376,5501,4.577,0.747,0
2794,62.8916228,6.867,2.06,371,5314,4.624,0.719,0
2804,95.906617,3.905,1.89,288,4893,4.659,0.653,0
2805,76.957857,9.384,1.99,451,5878,4.363,1.041,0
2815,67.9687026,7.899,1.54,448,6038,4.508,0.922,0
2825,116.5209565,5.744,86.38,421,6063,4.302,1.14,0
2831,67.232049,25.322,2.8,482,6157,4.418,1.016,0
2836,210.630591,8.675,3.21,230,4905,4.593,0.682,0
2857,65.6478424,4.412,2.49,456,5788,4.398,0.96,0
2861,101.1326568,4.298,3.79,380,5783,4.488,0.939,0
2868,76.4217472,8.066,2.87,442,6091,4.487,0.967,0
2891,59.2841571,5.311,1.79,418,5575,4.558,0.834,0
2905,55.8226539,5.493,2.21,379,5167,4.609,0.737,0
2926,62.7845002,4.789,2.12,523,6273,4.364,1.139,0
2928,91.5009237,4.848,1.85,315,5120,4.624,0.716,0
2932,131.485081,5.167,2.45,364,6004,4.484,0.977,0
2934,106.247547,13.668,1.99,397,5968,4.436,0.999,0
2949,53.5991044,6.662,2.57,529,6319,4.447,1.032,0
2951,104.3518976,3.586,1.44,371,5754,4.514,0.943,0
2960,95.609845,7.374,2.47,449,6289,4.387,1.102,0
2976,66.1849031,4.788,2.01,431,5893,4.539,0.866,0
2986,85.7350285,7.457,3.14,448,6096,4.397,1.077,0
2998,56.4932269,8.473,2.13,530,6412,4.44,1.04,0
3007,110.97378,12.388,1.48,423,5831,4.267,1.238,0
3013,78.7324395,5.108,4.35,578,6735,4.214,1.505,0
3016,147.280875,7.329,1.84,311,5593,4.543,0.828,0
3028,62.6822642,2.483,112.69,678,7051,4.135,1.574,0
3029,50.5714537,3.63,2.73,408,5275,4.59,0.787,0
3053,94.2887577,4.144,2.16,393,5799,4.449,0.901,0
3064,86.828989,6.001,1.12,196,3724,4.838,0.414,0
3071,57.3885599,3.382,1.95,452,5495,4.412,0.985,0
3083,56.414742,7.869,2.46,549,6308,4.353,1.153,0
3089,84.5733226,5.715,2.8,366,5418,4.543,0.888,0
3105,53.3572551,6.177,3.04,476,5893,4.505,0.941,0
3129,131.187711,7.548,2.55,249,4696,4.66,0.644,0
3143,68.8861915,5.95,1.25,478,5995,4.348,1.011,0
3188,57.293155,5.025,2.13,355,4806,4.564,0.729,0
3192,64.001151,4.481,1.9,271,4299,4.728,0.511,0
3200,51.1309704,5.995,2.41,542,6071,4.353,1.107,0
3217,88.0712696,6.772,2.27,325,5126,4.606,0.751,0
3228,66.5579057,10.399,1.66,513,6273,4.364,1.139,0
3235,79.9203123,4.351,1.73,217,3813,4.767,0.477,0
3259,175.605703,7.969,2.3,347,6208,4.462,1.009,0
3264,119.681645,28.74,9381.83,351,5778,4.531,0.911,0
3273,73.711634,9.877,1.57,547,6431,4.241,1.336,0
3281,115.229503,15.776,3.2,632,6585,3.813,2.517,0
3285,51.5738714,2.852,2.59,416,5377,4.581,0.814,0
3296,115.6862258,4.625,3.02,375,6032,4.508,0.929,0
3335,64.035738,8.605,2.5,411,5691,4.561,0.783,0
3338,213.6089084,11.326,34.18,293,5945,4.548,0.859,0
3339,170.8663519,16.9095,19.27,348,6102,4.44,1.023,0
3341,88.5112563,7.4072,6.07,417,5579,4.317,1.06,0
3344,197.5107678,11.2447,7.22,360,5988,4.255,1.236,0
3349,195.6118744,23.225,11.21,467,5970,3.835,2.229,0
3350,237.7872077,10.393,5.78,342,6400,4.358,1.123,0
3352,110.7557326,6.751,12.58,448,6528,4.384,1.155,0
3354,135.4977745,6.755,5.7,273,5114,4.637,0.682,0
3357,126.4465454,16.736,4.69,325,5635,4.569,0.804,0
3360,211.0338741,7.096,3.69,212,4628,4.631,0.661,0
3364,165.3450738,3.336,3147.87,301,5594,4.52,0.812,0
3366,97.4467732,7.247,3.47,283,4728,4.623,0.688,0
