koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
0.602277579,2.38,0.78,2699,6510,4.256,1.228,1
0.957823989,3.7162,91.17,2357,6018,4.122,1.64,1
2.470284342,7.933,98.19,1969,7012,4.173,1.662,1
1.2351627,4.773,0.93,1828,6210,4.45,1.033,1
1.23514326,4.795,0.8,1741,5930,4.436,0.997,1
0.89033356,2.75,22,5711,4981,2.437,18.374,1
1.000018535,1.257,2.58,3229,5295,3.352,4.319,1
0.796814727,1.33,2.23,2956,5039,3.465,2.813,1
1.06100327,1.675,0.94,1793,5966,4.493,0.961,1
0.922030438,4.4892,54.32,2210,6505,4.381,1.163,1
3.632934702,30.08,39.55,2602,9981,4.149,2.165,1
1.161947476,4.46738,72.87,2229,6208,4.156,1.551,1
0.607191899,1.31389,21.3,1757,5370,4.598,0.671,1
1.17430183,9.587,2.22,3020,7537,4.007,2.145,1
1.0567627,9.24,1.03,1634,5584,4.532,0.885,1
0.787122355,3.2285,25.79,1655,5210,4.528,0.799,1
2.15045295,4.453,24.27,4340,4899,2.356,18.92,1
0.561524348,3.336,0.43,2050,5919,4.55,0.715,1
1.78753633,7.306,0.96,1733,6299,4.333,1.113,1
1.77555333,14.41,1.26,1786,6594,4.39,1.138,1
1.37347867,12.62,4.25,2505,6877,4.028,1.753,1
1.00962683,5.126,1.37,2884,6028,3.724,2.412,1
1.060994733,2.6263,65.79,1967,5433,4.154,1.348,1
1.67473779,4.64,806.15,2895,7384,3.845,2.646,1
1.039370601,1.0407,5.19,2390,6443,4.146,1.457,1
2.31170112,9.966,1.77,3178,9451,3.97,2.679,1
1.25625738,9.726,1.32,3507,7450,3.68,3.063,1
0.99519559,2.293,0.29,1624,5506,4.512,0.782,1
0.73240662,4.33,3.65,3191,7392,4.135,1.772,1
2.954598,24.79,89.95,2148,6955,3.885,2.161,1
0.56200221,3.8,0.56,2983,6609,4.17,1.455,1
0.530799654,3.487,2.92,3102,6534,4.128,1.622,1
0.568187689,1.063,11.43,2943,6751,4.233,1.397,1
1.0094779,5.53,2.08,1817,5780,4.438,1,1
0.813998777,0.549,1.47,1931,5705,4.424,0.989,1
0.720605568,5.03,10.81,3931,8497,4.07,2.211,1
0.950488941,2.9592,1.4,4229,8107,3.698,3.385,1
0.541396363,2.384,2.04,3204,7118,4.212,1.489,1
0.55050827,1.1771,5.35,3961,4895,3.166,4.61,1
2.404292938,4.471,719.61,4177,4697,2.204,17.032,1
0.938074461,1.2801,39.3,5713,4697,2.204,17.032,1
0.756511594,2.8236,71.01,2549,6343,4.198,1.419,1
0.95887107,2.74318,46.09,1742,5530,4.425,0.892,1
0.5402463,13.93,6.2,3249,7296,4.249,1.498,1
1.28799777,3.343,0.96,2077,5382,3.917,1.684,1
1.516370133,1.298,1.14,1687,6140,4.455,1.048,1
1.949700558,4.3517,55.97,1717,6444,4.376,1.2,1
3.45707861,4.927,83.7,1603,6526,4.182,1.482,1
3.735996383,17.385,582.26,2063,5467,3.432,4.055,1
0.6397213,2.70098,47.07,1507,4794,4.633,0.625,1
2.025580507,4.3374,42.9,2102,6348,3.996,1.99,1
4.931366878,14.6263,140.16,1754,6562,3.835,2.263,1
0.61810542,6.666,39.52,1994,5371,4.403,0.949,1
1.069952289,1.242,0.94,1993,5869,4.274,1.221,1
0.61808448,3.94,0.89,1854,5339,4.503,0.793,1
0.759764397,5.7603,69.16,2004,5930,4.462,0.933,1
1.795272893,7.3279,55.88,1641,6363,4.456,1.012,1
0.755109271,2.619,0.47,1961,5606,4.39,0.962,1
1.51945773,2.983,0.41,1793,6284,4.375,1.096,1
0.759752794,2.572,0.88,2116,6077,4.444,1.072,1
1.025478412,1.743,0.96,2768,7209,4.137,1.727,1
1.025465916,3.7077,82.36,2539,7143,4.266,1.448,1
0.648775787,4.3461,41.43,1714,5143,4.559,0.776,1
4.132522721,12.499,93.51,1628,6567,4.045,1.636,1
0.938904984,5.01033,207,4278,8615,3.784,3.003,1
0.93892046,2.505,0.86,2474,6826,4.273,1.391,1
1.216176563,5.6963,4.06,2801,6234,3.741,2.5,1
0.643002809,1.0188,39.93,2187,5681,4.315,1.036,1
1.330347247,4.8178,23.86,1635,5984,4.521,0.906,1
1.140132662,7.33,27.23,2610,6725,4.035,1.781,1
2.56272536,2.017,0.83,1502,5475,4.118,1.374,1
1.3629585,10.98,8.25,2632,6831,3.971,2.106,1
3.34362248,27.1,15.93,1734,6541,4.069,1.687,1
0.905685261,1.395,0.76,1899,6075,4.501,0.909,1
0.790046077,4.9367,238.36,2557,6767,4.304,1.365,1
1.804591783,3.83117,57.01,1726,6282,4.332,1.118,1
1.400904463,0.921,1.18,1764,6366,4.472,0.979,1
1.14075091,2.962,0.67,3191,8847,4.2,1.685,1
1.044408447,3.633,1.17,2745,7274,4.161,1.698,1
0.977045,10.14,3.07,2870,7333,4.138,1.763,1
0.957476655,0.6337,2.52,2140,6312,4.338,1.122,1
1.559359853,5.4449,99.96,2291,7017,4.156,1.573,1
0.576272479,4.51,1.73,3398,7289,4.13,1.709,1
1.60369757,7.594,0.86,2088,6919,4.29,1.413,1
0.573036404,1.3176,9.97,2376,5745,4.29,1.196,1
0.643171413,2.33199,47.59,2195,5899,4.387,0.989,1
1.872620779,1.7607,11.97,1549,6031,4.427,1.004,1
1.118507672,1.199,0.76,1681,5918,4.546,0.863,1
0.94897209,3.372,1.2,2499,6680,4.203,1.474,1
3.722805085,14.503,91.75,1732,5425,3.678,2.592,1
